अंक	ə ŋ k
अतीत	ə t̪ iː t̪
अत्यंत	ə t̪ j ə n t̪
अत्याचार	ə t̪ j ɑː t͡ʃ ɑː ɾ
अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
अथक	ə t̪ʰ ə k
अथाह	ə t̪ʰ ɑːʱ
अदरक	ə d̪ ɾ ə k
अदा	ə d̪ ɑː
अदाकार	ə d̪ ɑː k ɑː ɾ
अदालती	ə d̪ ɑː l ə t̪ iː
अद्यतन	ə d̪ j ə t̪ ə n
अधिकतम	ə d̪ʱ ɪ k t̪ ə m
अधिकार	ə d̪ʱ ɪ k ɑː ɾ
अधिनियम	ə d̪ʱ ɪ n iː j ə m
अधिभार	ə d̪ʱ ɪ bʱ ɑː ɾ
अधिवक्ता	ə d̪ʱ ɪ ʋ ə k t̪ ɑː
अधिवेशन	ə d̪ʱ ɪ ʋ eː ʃ ə n
अधिसूचित	ə d̪ʱ ɪ s uː t͡ʃ ɪ t̪
अधीक्षक	ə d̪ʱ iː k ʃ ə k
अधीक्षण	ə d̪ʱ iː k ʃ ə n
अधीन	ə d̪ʱ iː n
अधीनता	ə d̪ʱ iː n t̪ ɑː
अधूरा	ə d̪ʱ uː ɾ ɑː
अधेड़	ə d̪ʱ eː ɽ
अध्यक्षता	ə d̪ʱ j ə k ʃ t̪ ɑː
अध्यापक	ə d̪ʱ j ɑː p ə k
अनंतपुर	ə n ə n t̪ p ʊ ɾ
अनगिनत	ə n ɡ ɪ n ə t̪
अनजाना	ə n d͡ʒ ɑː n ɑː
अनजाने	ə n d͡ʒ ɑː n eː
अनदेखा	ə n d̪ eː kʰ ɑː
अनपढ़	ə n p ə ɽʱ
अनमोल	ə n m oː l
अनर्थ	ə n ə ɾ t̪ʰ
अनशन	ə n ʃ ə n
अनसुना	ə n s ʊ n ɑː
अनहोनी	ə n ɦ oː n iː
अनाज	ə n ɑː d͡ʒ
अनाथालय	ə n ɑː t̪ʰ ɑː l ə j
अनाधिकारिक	ə n ɑː d̪ʱ ɪ k ɑː ɾ ɪ k
अनामिका	ə n ɑː m ɪ k ɑː
अनार	ə n ɑː ɾ
अनिच्छा	ə n ɪ t͡ʃ t͡ʃʰ ɑː
अनिद्रा	ə n ɪ d̪ ɾ ɑː
अनियंत्रित	ə n iː j ə n t̪ ɾ ɪ t̪
अनिवार्य	ə n ɪ ʋ ɑː ɾ j
अनिश्चित	ə n ɪ ʃ t͡ʃ ɪ t̪
अनिश्चितता	ə n ɪ ʃ t͡ʃ ɪ t̪ t̪ ɑː
अनुकूल	ə n ʊ k uː l
अनुचित	ə n ʊ t͡ʃ ɪ t̪
अनुदान	ə n ʊ d̪ ɑː n
अनुपजाऊ	ə n ʊ p d͡ʒ ɑː uː
अनुपयोगी	ə n ʊ p j oː ɡ iː
अनुपस्थित	ə n uː p ə s t̪ʰ ɪ t̪
अनुपस्थिति	ə n ʊ p ə s t̪ʰ ɪ t̪ iː
अनुपात	ə n ʊ p ɑː t̪
अनुपूरक	ə n ʊ p uː ɾ ə k
अनुभवी	ə n ʊ bʱ ə ʋ iː
अनुभूति	ə n ʊ bʱ uː t̪ iː
अनुमानित	ə n ʊ m ɑː n ɪ t̪
अनुमोदन	ə n̪ ʊ m o d̪ ə n̪
अनुयायी	ə n ʊ j ɑː j iː
अनुरोध	ə n ʊ ɾ oː d̪ʱ
अनुवादित	ə n ʊ ʋ ɑː d̪ ɪ t̪
अनुशासन	ə n ʊ ʃ ɑː s ə n
अनुशासित	ə n ʊ ʃ ɑː s ɪ t̪
अनुष्ठान	ə n ʊ ʃ ʈʰ ɑː n
अनुसंधान	ə n ʊ s ə n d̪ʱ ɑː n
अनूदित	ə n uː d̪ ɪ t̪
अनेक	ə n eː k
अनेकता	ə n eː k t̪ ɑː
अन्दर	ə n d̪ ə ɾ
अन्न	ə n n ə
अन्यथा	ə n j ə t̪ʰ ɑː
अन्याय	ə n j ɑː j
अन्यायपूर्ण	ə n j ɑː j p uː ɾ n
अपकार	ə p k ɑː ɾ
अपना	ə p n ɑː
अपमान	ə p m ɑː n
अपमानजनक	ə p m ɑː n d͡ʒ ə n ə k
अपराध	ə p ɾ ɑː d̪ʱ
अपराधी	ə p ɾ ɑː d̪ʱ iː
अपरिपक्व	ə p ɾ ɪ p ə k ʋ
अपर्याप्त	ə p ə ɾ j ɑː p t̪
अपवाद	ə p ʋ ɑː d̪
अपवित्र	ə p ə ʋ ɪ t̪ ɾ
अपशकुन	ə p ʃ ə k ʊ n
अपहरण	ə pʰ ə ɾ ə n
अपूर्ण	ə p uː ɾ n
अपेक्षा	ə p eː k ʃ ɑː
अपेक्षाकृत	ə p eː k ʃ ɑː k ɾ ɪ t̪
अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʃ
अप्रत्याशित	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
अप्रिय	ə p ɾ ɪ j
अप्रैल	ə p ɾ ɛː l
अफ़वाह	ə f ʋ ɑːʱ
अफ़सर	ə f s ə ɾ
अफ़साना	ə f s ɑː n ɑː
अफ़्रीका	ə f ɾ iː k ɑː
अभिनेत्री	ə bʱ ɪ n eː t̪ ɾ iː
अभिभावक	ə bʱ ɪ bʱ ɑː ʋ ə k
अभिभूत	ə bʱ ɪ bʱ uː t̪
अभियंता	ə bʱ iː j ə n t̪ ɑː
अभियांत्रिकी	ə bʱ iː j ɑː n t̪ ɾ ɪ k iː
अभियान	ə bʱ iː j ɑː n
अभियुक्त	ə bʱ i j ʊ k t̪
अभियोक्ता	ə bʱ iː j oː k t̪ ɑː
अभियोग	ə bʱ iː j oː ɡ
अभियोजक	ə bʱ iː j oː d͡ʒ ə k
अभिलाषा	ə bʱ ɪ l ɑː ʃ ɑː
अभिव्यक्ति	ə bʱ ɪ ʋ j ə k t̪ iː
अभी	ə bʱ iː
अभ्यस्त	ə bʱ j ə s t̪
अभ्यास	ə bʱ j ɑː s
अमन	ə m ə n
अमरावती	ə m ɾ ɑː ʋ ə t̪ iː
अमरूद	ə m ɾ uː d̪
अमल	ə m ə l
अमानत	ə m ɑː n ə t̪
अमान्य	ə m ɑː n j
अमीर	ə m iː ɾ
अमीरी	ə m iː ɾ iː
अमूल्य	ə m uː l j
अमेरिका	ə m eː ɾ ɪ k ɑː
अमोघ	ə m oː ɡʱ
अम्बर	ə m b ə ɾ
अयस्क	ə j ə s k
अयोध्या	ə j oː d̪ʱ j ɑː
अरगनी	ə ɾ ə ɡ n iː
अरब	ə ɾ ə b
अरबिंद	ə ɾ b ɪ n d̪
अरमान	ə ɾ m ɑː n
अरविंद	ə ɾ ʋ ɪ n d̪
अरुणोदय	ə ɾ ʊ n oː d̪ ə j
अर्ज़ी	ə ɾ z iː
अर्जुन	ə ɾ d͡ʒ ʊ n
अर्जेंटीना	ə ɾ d͡ʒ eː n ʈ iː n ɑː
अर्थ	ə ɾ t̪ʰ
अर्थपूर्ण	ə ɾ t̪ʰ ə p uː ɾ n
अर्थव्यवस्था	ə ɾ t̪ʰ ə ʋ j ə ʋ ə s t̪ʰ ɑː
अर्थशास्त्री	ə ɾ t̪ʰ ə ʃ ɑː s t̪ ɾ iː
अर्थात	ə ɾ t̪ʰ ɑː t̪
अर्द्ध	ə ɾ d̪ d̪ʱ
अर्ध	ə ɾ d̪ʱ
अर्पित	ə ɾ p ɪ t̪
अलगाव	ə l ɡ ɑː ʋ
अलबत्ता	ə l b ə t̪ t̪ ɑː
अलबम	ə l b ə m
अलमारी	ə l m ɑː ɾ iː
अलहदा	ə l ɛːʱ d̪ ɑː
अलादीन	ə l ɑː d̪ iː n
अलाव	ə l ɑː ʋ
अल्जीरिया	ə l d͡ʒ iː ɾ iː j ɑː
अल्पसंख्यक	ə l p s ə ŋ kʰ j ə k
अल्लाह	ə l l ɑːʱ
अवतार	ə ʋ t̪ ɑː ɾ
अवधारणा	ə ʋ d̪ʱ ɑː ɾ n ɑː
अवयव	ə ʋ j ə ʋ
अवलोकन	ə ʋ l oː k ə n
अवशोषण	ə ʋ ʃ oː ʃ ə n
अवश्य	ə ʋ ə ʃ j
अवसर	ə ʋ s ə ɾ
अवाम	ə ʋ ɑː m
अवार्ड	ə ʋ ɑː ɾ ɖ
अव्वल	ə ʋ ʋ ə l
अश्विनी	ə ʃ ʋ ɪ n iː
असंगत	ə s ə ŋ ɡ ə t̪
असंतुष्ट	ə s ə n t̪ ʊ ʃ ʈ
असंभव	ə s ə m bʱ ə ʋ
असंवेदनशील	ə s ə m ʋ eː d̪ ə n ʃ iː l
असंवैधानिक	ə s ə m ʋ ɛː d̪ʱ ɑː n ɪ k
असफल	ə s ə pʰ ə l
असम	ə s ə m
असमंजस	ə s ə m ə ɲ d͡ʒ ə s
असर	ə s ə ɾ
असल	ə s l
असलियत	ə s l iː j ə t̪
असली	ə s l iː
असहमति	ə s ɛːʱ m ə t̪ iː
असहयोग	ə s əʱ j oː ɡ
असहाय	ə s ɦ ɑː j
असाधारण	ə s ɑː d̪ʱ ɑː ɾ ə n
असामाजिक	ə s ɑː m ɑː d͡ʒ ɪ k
असुरक्षित	ə s ʊ ɾ ə k ʃ ɪ t̪
असुविधा	ə s ʊ ʋ ɪ d̪ʱ ɑː
असैनिक	ə s ɛː n ɪ k
अस्तित्व	ə s t̪ ɪ t̪ ʋ
अस्पताल	ə s p ə t̪ ɑː l
अस्सी	ə s s iː
अहं	ɛːʱ m
अहम	ɛːʱ m
अहमियत	ɛːʱ m iː j ə t̪
आँख	ɑ̃ː kʰ
आँगन	ɑ̃ː ɡ ə n
आँच	ɑ̃ː t͡ʃ
आँसू	ɑ̃ː s uː
आंकड़ा	ɑː ŋ k ɽ ɑː
आंतरिक	ɑː n t̪ ɾ ɪ k
आंदोलन	ɑː n d̪ oː l ə n
आइंदा	ɑː ɪ n d̪ ɑː
आइसक्रीम	ɑː ɪ s k ɾ iː m
आइसलैंड	ɑː ɪ s l ɛː n ɖ
आकर्षक	ɑː k ə ɾ ʃ ə k
आकर्षण	ɑː k ə ɾ ʃ ə n
आकर्षित	ɑː k ə ɾ ʃ ɪ t̪
आकलन	ɑː k ə l ə n
आकस्मिक	ɑː k ə s m ɪ k
आकांक्षा	ɑː k ɑː ŋ k ʃ ɑː
आकार	ɑː k ɑː ɾ
आकाश	ɑː k ɑː ʃ
आकाशवाणी	ɑː k ɑː ʃ ʋ ɑː n iː
आक्रमण	ɑː k ɾ ə m ə n
आक्रामकता	ɑː k ɾ ɑː m ə k t̪ ɑː
आक्रोश	ɑː k ɾ oː ʃ
आग	ɑː ɡ
आगमन	ɑː ɡ ə m ə n
आगाह	ɑː ɡ ɑːʱ
आगे	ɑː ɡ eː
आचरण	ɑː t͡ʃ ə ɾ ə n
आचार	ɑː t͡ʃ ɑː ɾ
आज	ɑː d͡ʒ
आज़ाद	ɑː z ɑː d̪
आजीविका	ɑː d͡ʒ iː ʋ ɪ k ɑː
आज्ञा	ɑː ɡ j ɑː
आठ	ɑː ʈʰ
आठवां	ɑː ʈʰ ʋ ɑ̃ː
आडवाणी	ɑː ɖ ʋ ɑː n iː
आड़	ɑː ɽ
आतंकित	ɑː t̪ ə ŋ k ɪ t̪
आतिश	ɑː t̪ ɪ ʃ
आतिशबाज़ी	ɑː t̪ ɪ ʃ b ɑː z iː
आतुर	ɑː t̪ ʊ ɾ
आत्मकथा	ɑː t̪ m ə k ə t̪ʰ ɑː
आत्मघाती	ɑː t̪ m ə ɡʱ ɑː t̪ iː
आत्मनिर्भर	ɑː t̪ m ə n ɪ ɾ bʱ ə ɾ
आत्मविश्वास	ɑː t̪ m ə ʋ ɪ ʃ ʋ ɑː s
आत्मसमर्पण	ɑː t̪ m s ə m ə ɾ p ə n
आत्मसात	ɑː t̪ m ə s ɑː t̪
आत्महत्या	ɑː t̪ m ɦ ə t̪ j ɑː
आत्मा	ɑː t̪ m ɑː
आदतन	ɑː d̪ ə t̪ ə n
आदम	ɑː d̪ ə m
आदमी	ɑː d̪ m iː
आदर	ɑː d̪ ə ɾ
आदर्श	ɑː d̪ ə ɾ ʃ
आदिवासी	ɑː d̪ ɪ ʋ ɑː s iː
आदी	ɑː d̪ iː
आदेश	ɑː d̪ eː ʃ
आधार	ɑː d̪ʱ ɑː ɾ
आधारभूत	ɑː d̪ʱ ɑː ɾ bʱ uː t̪
आधिपत्य	ɑː d̪ʱ ɪ p ə t̪ j
आधुनिकीकरण	ɑː d̪ʱ ʊ n ɪ k iː k ə ɾ ə n
आध्यात्मिक	ɑː d̪ʱ j ɑː t̪ m ɪ k
आना	ɑː n ɑː
आन्दोलन	ɑː n d̪ oː l ə n
आप	aː p
आपका	ɑː p k ɑː
आपत्ति	ɑː p ə t̪ t̪ iː
आपत्तिजनक	ɑː p ə t̪ t̪ iː d͡ʒ ə n ə k
आपबीती	ɑː p b iː t̪ iː
आपूर्ति	ɑː p uː ɾ t̪ iː
आबरू	ɑː b ɾ uː
आमंत्रित	ɑː m ə n t̪ ɾ ɪ t̪
आमदनी	ɑː m ə d̪ n iː
आयत	ɑː j ə t̪
आयन	ɑː j ə n
आयरलैंड	ɑː j ə ɾ l ɛː n ɖ
आया	ɑː j ɑː
आयात	ɑː j ɑː t̪
आयु	ɑː j uː
आयुक्त	ɑː j ʊ k t̪
आयुर्विज्ञान	ɑː j ʊ ɾ ʋ ɪ ɡ j ɑː n
आयुर्वेद	ɑː j ʊ ɾ ʋ eː d̪
आयोग	ɑː j oː ɡ
आयोजन	ɑː j oː d͡ʒ ə n
आयोजित	ɑː j oː d͡ʒ ɪ t̪
आरंभिक	ɑː ɾ ə m bʱ ɪ k
आरक्षण	ɑː ɾ ə k ʃ ə n
आराम	ɑː ɾ ɑː m
आरोग्य	ɑː ɾ oː ɡ j
आरोप	ɑː ɾ oː p
आलसी	ɑː l s iː
आलीशान	ɑː l iː ʃ ɑː n
आलू	ɑː l uː
आलेख	ɑː l eː kʰ
आवंटन	ɑː ʋ ə n ʈ ə n
आवंटित	ɑː ʋ ə n ʈ ɪ t̪
आवक	ɑː ʋ ə k
आवश्यकता	ɑː ʋ ə ʃ j ə k t̪ ɑː
आविष्कार	ɑː ʋ ɪ ʃ k ɑː ɾ
आवेदन	ɑː ʋ eː d̪ ə n
आशना	ɑː ʃ n ɑː
आशय	ɑː ʃ ə j
आशियाना	ɑː ʃ iː j ɑː n ɑː
आशीर्वाद	ɑː ʃ iː ɾ ʋ ɑː d̪
आश्चर्य	ɑː ʃ t͡ʃ ə ɾ j
आश्रम	ɑː ʃ ɾ ə m
आसन	ɑː s ə n
आसन्न	ɑː s ə n n
आसरा	ɑː s ɾ ɑː
आसामी	ɑː s ɑː m iː
आसार	ɑː s ɑː ɾ
आस्था	ɑː s t̪ʰ ɑː
आहट	ɑː ɦ ə ʈ
आहत	ɑː ɦ ə t̪
आहार	ɑː ɦ ɑː ɾ
इंग्लैंड	ɪ ŋ ɡ l ɛː n ɖ
इंच	ɪ ɲ t͡ʃ
इंजीनियर	ɪ ɲ d͡ʒ iː n iː j ə ɾ
इंटेल	ɪ n ʈ eː l
इंडस्ट्री	ɪ n ɖ ə s ʈ ɾ iː
इंतज़ार	ɪ n t̪ ə z ɑː ɾ
इंदौर	ɪ n d̪ ɔː ɾ
इंद्रिय	ɪ n d̪ ɾ ɪ j
इंफाल	ɪ m pʰ ɑː l
इंस्पेक्टर	ɪ n s p eː k ʈ ə ɾ
इकलौता	ɪ k l ɔː t̪ ɑː
इग्लू	ɪ ɡ l uː
इज़हार	ɪ z ɦ ɑː ɾ
इज़ाफ़ा	ɪ z ɑː f ɑː
इज़्ज़त	ɪ z z ə t̪
इटालियन	ɪ ʈ ɑː l iː j ə n
इतर	ɪ t̪ ə ɾ
इतराना	ɪ t̪ ɾ ɑː n ɑː
इतालवी	ɪ t̪ ɑː l ʋ iː
इतिहास	ɪ t̪ ɪ ɦ ɑː s
इतिहासकार	ɪ t̪ ɪ ɦ ɑː s k ɑː ɾ
इत्र	ɪ t̪ ɾ
इथियोपिया	ɪ t̪ʰ iː j oː p iː j ɑː
इनका	ɪ n k ɑː
इनको	ɪ n k oː
इनसाफ़	ɪ n s ɑː f
इन्हें	ɪ n ɦ ẽ
इबादत	ɪ b ɑː d̪ ə t̪
इब्राहीम	ɪ b ɾ ɑː ɦ iː m
इमली	ɪ m l iː
इमारत	ɪ m ɑː ɾ ə t̪
इमोशन	ɪ m oː ʃ ə n
इम्तहान	ɪ m t̪ ə ɦ ɑː n
इम्तेहान	ɪ m t̪ eː ɦ ɑː n
इरादतन	ɪ ɾ ɑː d̪ t̪ ə n
इलाज	ɪ l ɑː d͡ʒ
इलायची	ɪ l ɑː j ə t͡ʃ iː
इलाहाबाद	ɪ l ɑː ɦ ɑː b ɑː d̪
इलाही	ɪ l ɑː ɦ iː
इश्क	ɪ ʃ k
इश्तहार	ɪ ʃ t̪ ə ɦ ɑː ɾ
इसका	ɪ s k ɑː
इसको	ɪ s k oː
इसमें	ɪ s m ẽ
इसरार	ɪ s ɾ ɑː ɾ
इसरो	ɪ s ɾ oː
इसलिए	ɪ s l ɪ eː
इसे	ɪ s eː
इस्तेमाल	ɪ s t̪ eː m ɑː l
इस्पात	ɪ s p ɑː t̪
इस्राइल	ɪ s ɾ ɑː ɪ l
इस्लाम	ɪ s l ɑː m
इस्लामाबाद	ɪ s l ɑː m ɑː b ɑː d̪
ईंधन	iː n d̪ʱ ə n
ईटानगर	iː ʈ ɑː n ə ɡ ə ɾ
ईद	iː d̪
ईमानदार	iː m ɑː n d̪ ɑː ɾ
ईरान	iː ɾ ɑː n
ईरानी	iː ɾ ɑː n iː
ईर्ष्या	iː ɾ ʃ j ɑː
ईश	iː ʃ
ईश्वर	iː ʃ ʋ ə ɾ
ईसा	iː s ɑː
ईसाई	iː s ɑː iː
उंगली	ʊ ŋ ɡ l iː
उंचाई	ʊ ɲ t͡ʃ ɑː iː
उक्त	ʊ k t̪
उग्र	ʊ ɡ ɾ
उचित	ʊ t͡ʃ ɪ t̪
उच्चायुक्त	ʊ t͡ʃ t͡ʃ ɑː j ʊ k t̪
उच्चायोग	ʊ t͡ʃ t͡ʃ ɑː j oː ɡ
उच्चारण	ʊ t͡ʃ t͡ʃ ɑː ɾ ə n
उजागर	ʊ d͡ʒ ɑː ɡ ə ɾ
उड़द	ʊ ɽ ə d̪
उड़ना	ʊ ɽ n ɑː
उड़ान	ʊ ɽ ɑː n
उड़ीसा	ʊ ɽ iː s ɑː
उड्डयन	ʊ ɖ ɖ ə j ə n
उतरना	ʊ t̪ ə ɾ n ɑː
उतारना	ʊ t̪ ɑː ɾ n ɑː
उत्कृष्ट	ʊ t̪ k ɾ ɪ ʃ ʈ
उत्तम	ʊ t̪ t̪ ə m
उत्तर	ʊ t̪ t̪ ə ɾ
उत्तरकाशी	ʊ t̪ t̪ ə ɾ k ɑː ʃ iː
उत्तरदायित्व	ʊ t̪ t̪ ə ɾ d̪ ɑː j ɪ t̪ ʋ
उत्तरदायी	ʊ t̪ t̪ ə ɾ d̪ ɑː j iː
उत्तराधिकारी	ʊ t̪ t̪ ə ɾ ɑː d̪ʱ ɪ k ɑː ɾ iː
उत्तेजित	ʊ t̪ː e d ʒ ɪ t̪
उत्पत्ति	ʊ t̪ p ə t̪ t̪ iː
उत्पाद	ʊ t̪ p ɑː d̪
उत्पादन	ʊ t̪ p ɑː d̪ ə n
उत्पीड़न	ʊ t̪ p iː ɽ ə n
उत्प्रेरक	ʊ t̪ p ɾ eː ɾ ə k
उत्सर्जन	ʊ t̪ s ə ɾ d͡ʒ ə n
उत्साह	ʊ t̪ s ɑːʱ
उत्साहित	ʊ t̪ s ɑː ɦ ɪ t̪
उत्सुक	ʊ t̪ s ʊ k
उदारता	ʊ d̪ ɑː ɾ t̪ ɑː
उदास	ʊ d̪ ɑː s
उदासीन	ʊ d̪ ɑː s iː n
उद्घाटन	ʊ d̪ ɡʱ ɑː ʈ ə n
उद्भव	ʊ d̪ bʱ ə ʋ
उद्यमी	ʊ d̪ j ə m iː
उद्यान	ʊ d̪ j ɑː n
उद्योग	ʊ d̪ j oː ɡ
उद्योगपति	ʊ d̪ j oː ɡ p ə t̪ iː
उद्योगीकरण	ʊ d̪ j oː ɡ iː k ə ɾ ə n
उधार	ʊ d̪ʱ ɑː ɾ
उनका	ʊ n k ɑː
उनको	ʊ n k oː
उनींदा	ʊ n iː n d̪ ɑː
उन्नत	ʊ n n ə t̪
उन्नाव	ʊ n n ɑː ʋ
उन्माद	ʊ n̪ m aː d̪
उन्मूलन	ʊ n m uː l ə n
उन्हें	ʊ n ɦ ẽ
उन्होंने	ʊ n ɦ õː n eː
उपचुनाव	ʊ p t͡ʃ ʊ n ɑː ʋ
उपजाऊ	ʊ p d͡ʒ ɑː uː
उपनगर	ʊ p n ə ɡ ə ɾ
उपनाम	ʊ p n ɑː m
उपन्यास	ʊ p ə n j ɑː s
उपभोक्ता	ʊ p bʱ oː k t̪ ɑː
उपभोग	ʊ p bʱ oː ɡ
उपयोग	ʊ p j oː ɡ
उपलब्ध	ʊ p l ə b d̪ʱ
उपहार	ʊ pʰ ɑː ɾ
उपाधि	ʊ p ɑː d̪ʱ iː
उपाध्याय	ʊ p ɑː d̪ʱ j ɑː j
उपाय	ʊ p ɑː j
उपेक्षा	ʊ p eː k ʃ ɑː
उबरना	ʊ b ə ɾ n ɑː
उभरना	ʊ bʱ ə ɾ n ɑː
उमंग	ʊ m ə ŋ ɡ
उमर	ʊ m ə ɾ
उमस	ʊ m ə s
उम्दा	ʊ m d̪ ɑː
उम्मीदवार	ʊ m m iː d̪ ʋ ɑː ɾ
उलझन	ʊ l d͡ʒʱ ə n
उलझना	ʊ l ə d͡ʒʱ n ɑː
उलटी	ʊ l ʈ iː
उल्का	ʊ l k ɑː
उल्टा	ʊ l ʈ ɑː
उल्टी	ʊ l ʈ iː
उल्लंघन	ʊ l l ə ŋ ɡʱ ə n
उल्लू	ʊ l l uː
उल्लेख	ʊ l l eː kʰ
उषा	ʊ ʃ ɑː
उसका	ʊ s k ɑː
उसको	ʊ s k oː
उससे	ʊ s s eː
उसूल	ʊ s uː l
उसे	ʊ s eː
उस्ताद	ʊ s t̪ ɑː d̪
ऊँट	ũː ʈ
ऊन	uː n
ऊना	uː n ɑː
ऊपरी	uː p ɾ iː
ऊब	uː b
ऊर्जा	uː ɾ d͡ʒ ɑː
ऋग्वेद	ɾ ɪ ɡ ʋ eː d̪
ऋण	ɾ ɪ n
ऋणदाता	ɾ ɪ n d̪ ɑː t̪ ɑː
ऋतु	ɾ ɪ t̪ uː
एक	eː k
एकजुट	eː k d͡ʒ ʊ ʈ
एकजुटता	eː k d͡ʒ ʊ ʈ t̪ ɑː
एकतरफ़ा	eː k t̪ ə ɾ f ɑː
एकत्र	eː k ə t̪ ɾ
एकल	eː k ə l
एकांत	eː k ɑː n t̪
एकाएक	eː k ɑː eː k
एकाध	eː k ɑː d̪ʱ
एडिलेड	eː ɖ ɪ l eː ɖ
एयरलाइन	eː j ə ɾ l ɑː ɪ n
एलान	eː l ɑː n
एल्युमिनियम	eː l j ʊ m ɪ n iː j ə m
एशिया	eː ʃ iː j ɑː
एसोसिएशन	eː s oː s ɪ eː ʃ ə n
एहसान	eːʱ s ɑː n
एहसानमंद	eːʱ s ɑː n m ə n d̪
ऐच्छिक	ɛː t͡ʃ t͡ʃʰ ɪ k
ऐतिहासिक	ɛː t̪ ɪ ɦ ɑː s ɪ k
ऐनक	ɛː n ə k
ऐश	ɛː ʃ
ऐश्वर्य	ɛː ʃ ʋ ə ɾ j
ऐसी	ɛː s iː
ऐसे	ɛː s eː
ऑकलैंड	ɔː k l ɛː n ɖ
