adda	a tː a
fegurð	f ɛː ɣ ʏ r ð
feiti	f e iː t ɪ
fela	f ɛː l a
felga	f ɛ l k a
fell	f ɛ t l
fella	f ɛ t l a
fellibylur	f ɛ t l ɪ p ɪː l ʏ r
ferill	f ɛː r ɪ t l
ferilskrá	f ɛː r ɪ l s k r a uː
ferming	f ɛ r m i ŋ k
ferningur	f ɛ r t n i ŋ k ʏ r
ferskur	f ɛ r̥ s k ʏ r
ferð	f ɛ r ð
ferðamaður	f ɛ r ð a m aː ð ʏ r
ferðaáætlun	f ɛ r ð a a uː a i h t l ʏ n
festi	f ɛ s t ɪ
festing	f ɛ s t i ŋ k
fet	f ɛː t
feðgar	f ɛ ð k a r
feðgin	f ɛ ð c ɪː n
fimleikar	f ɪ m l e iː k a r
fimm	f ɪ mː
fingur	f i ŋ k ʏ r
finnast	f ɪ nː a s t
finnbogi	f ɪ n p ɔ j ɪ
finni	f ɪ nː ɪ
finnland	f ɪ nː l a n t
finnska	f ɪ n s k a
finnur	f ɪ nː ʏ r
fis	f ɪː s
fiseind	f ɪː s e i n t
fita	f ɪː t a
fiðrildi	f ɪ ð r ɪ l t ɪ
fjall	f j a t l
fjallagrös	f j a t l a k r œː s
fjandi	f j a n t ɪ
fjandskapur	f j a n t s k aː p ʏ r
fjarlægja	f j a r l a iː j a
fjarstýring	f j a r̥ s t iː r i ŋ k
fjáður	f j a uː ð ʏ r
fjóla	f j o uː l a
fjólublár	f j o uː l ʏ p l a uː r
fjórir	f j o uː r i r
fjórði	f j o u r ð ɪ
fjórðungur	f j o u r ð u ŋ k ʏ r
fjós	f j o uː s
fjölbreytni	f j œ l p r e i h t n ɪ
fjölbýlishús	f j œ l p iː l ɪ s h uː s
fjöldamorðingi	f j œ l t a m ɔ r ð i ŋ c ɪ
fjölga	f j œ l k a
fjöllaufungur	f j œ l l ø yː v u ŋ k ʏ r
fjölskylda	f j œ l s c ɪ l t a
fjör	f j œː r
fjötur	f j œː t ʏ r
fjúka	f j uː k a
flagg	f l a kː
flakka	f l a h k a
flass	f l a sː
flautuleikari	f l ø yː t ʏ l e iː k aː r ɪ
fleirtala	f l e i r̥ t aː l a
fletja	f l ɛː t j a
fletta	f l ɛ h t a
fleygur	f l e iː ɣ ʏ r
fleyta	f l e iː t a
flibbi	f l ɪ pː ɪ
flissa	f l ɪ sː a
fljót	f l j o uː t
fljóta	f l j o uː t a
fljóð	f l j o uː ð
fljúga	f l j uː a
flog	f l ɔː ɣ
flogaveiki	f l ɔː ɣ a v e iː c ɪ
flokka	f l ɔ h k a
flokkun	f l ɔ h k ʏ n
flokkur	f l ɔ h k ʏ r
floti	f l ɔː t ɪ
flugbraut	f l ʏ ɣ p r ø yː t
flugfélag	f l ʏː ɣ f j ɛː l aː ɣ
flugslóði	f l ʏ x s t l o uː ð ɪ
flugvél	f l ʏ ɣ v j ɛː l
flugvöllur	f l ʏ ɣ v œ t l ʏ r
flundra	f l ʏ n t r a
flytja	f l ɪː t j a
flækingur	f l a iː c i ŋ k ʏ r
flækja	f l a iː c a
flæði	f l a iː ð ɪ
flétta	f l j ɛ h t a
flík	f l iː k
flís	f l iː s
flóra	f l o uː r a
flórens	f l o uː r ɛ n s
flórída	f l o uː r i t a
flóð	f l o uː ð
flýja	f l iː j a
flýta	f l iː t a
flýtir	f l iː t ɪ r
fnykur	f n ɪː k ʏ r
fokk	f ɔ h k
folald	f ɔː l a l t
for	f ɔː r
foreldrar	f ɔː r ɛ l t r a r
forliður	f ɔ r l ɪː ð ʏ r
forn	f ɔ r t n
fornenska	f ɔ r t n ɛ n s k a
forrit	f ɔ r r ɪː t
forritun	f ɔ rː ɪː t ʏ n
forréttur	f ɔ r r j ɛ h t ʏ r
forseti	f ɔ r̥ s ɛː t ɪ
forsjá	f ɔ r̥ s j a uː
forskeyti	f ɔ r̥ s c e iː t ɪ
forskot	f ɔ r̥ s k ɔː t
forsprakki	f ɔ r̥ s p r a h c ɪ
forstjóri	f ɔ r̥ s t j o uː r ɪ
forstöðumaður	f ɔ r̥ s t œ ð ʏ m aː ð ʏ r
forsætisráðherra	f ɔ r̥ s a iː t ɪ s r a uː ð h ɛ rː a
fortíð	f ɔ r̥ tʰ iː ð
forvitni	f ɔ r v ɪ h t n ɪ
forvöð	f ɔ r v œː ð
forða	f ɔ r ð a
forði	f ɔ r ð ɪ
fosfór	f ɔ s f o uː r
foss	f ɔ sː
frakkland	f r a h k l a n t
framan	f r aː m a n
framburður	f r a m p ʏ r ð ʏ r
framferði	f r a m f ɛ r ð ɪ
framkoma	f r a m kʰ ɔː m a
framkvæma	f r a m kʰ v a iː m a
framkvæmd	f r a m kʰ v a i m t
framkvæmdastjóri	f r a m kʰ v a i m t a s t j o uː r ɪ
framlag	f r a m l aː ɣ
framleiðandi	f r a m l e iː ð a n t ɪ
framleiðsla	f r a m l e i ð s t l a
framlengja	f r a m l e i ɲ c a
framvinda	f r a m v ɪ n t a
frank	f r a ŋ̊ k
franska	f r a n s k a
frasi	f r aː s ɪ
frelsari	f r ɛ l s aː r ɪ
frelsi	f r ɛ l s ɪ
fremja	f r ɛ m j a
fress	f r ɛ sː
fresta	f r ɛ s t a
frestur	f r ɛ s t ʏ r
freyja	f r e iː j a
friða	f r ɪː ð a
friður	f r ɪː ð ʏ r
frjáls	f r j a u l s
frjókorn	f r j o uː kʰ ɔ r t n
frjósemi	f r j o uː s ɛː m ɪ
frost	f r ɔ s t
frumefni	f r ʏː m ɛ p n ɪ
frumvarp	f r ʏ m v a r̥ p
frysta	f r ɪ s t a
frá	f r a uː
frádráttur	f r a u t r a u h t ʏ r
frásögn	f r a uː s œ k n
fræ	f r a iː
frægð	f r a i ɣ ð
frækinn	f r a iː c ɪ nː
frænka	f r a i n k a
fræva	f r a iː v a
fræða	f r a iː ð a
fræði	f r a iː ð ɪ
fræðimaður	f r a iː ð ɪ m aː ð ʏ r
fræðsla	f r a i ð s t l a
frétt	f r j ɛ h t
fréttablað	f r j ɛ h t a p l aː ð
fréttastofa	f r j ɛ h t a s t ɔː v a
frímerki	f r iː m ɛ r̥ c ɪ
fríða	f r iː ð a
fríður	f r iː ð ʏ r
frón	f r o uː n
fugl	f ʏ k l
fuglahræða	f ʏ k l a r̥ a iː ð a
fuglakjöt	f ʏ k l a cʰ œː t
fullkomlega	f ʏ t l̥ kʰ ɔ m l ɛː ɣ a
fullnusta	f ʏ t l n ʏ s t a
fulltrúi	f ʏ t l̥ tʰ r uː ɪ
fullur	f ʏ t ɬ ʏ r
