あい	a̠ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あこがれる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あご	a̠ ɡ o̞
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさぬの	a̠ s a̠ n ɯ̟ᵝ n o̞
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
あざやか	a̠ z a̠ j a̠ k a̠
あざらし	a̠ z a̠ ɾ a̠ ɕ i
あしあと	a̠ ɕ i a̠ t o̞
あしか	a̠ ɕ i̥ k a̠
あしざま	a̠ ɕ i z a̠ m a̠
あした	a̠ ɕ i̥ t a̠
あしはら	a̠ ɕ i̥ h a̠ ɾ a̠
あしもと	a̠ ɕ i m o̞ t o̞
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
あずき	a̠ z ɨᵝ kʲ i
あずける	a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
あそう	a s oː
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたらしい	a̠ t a̠ ɾ a̠ ɕ iː
あちら	a̠ t͡ɕ i ɾ a̠
あつかましい	a̠ t͡s ɨᵝ k a̠ m a̠ ɕ i i
あつひろ	a̠ t͡s ɨᵝ ç i ɾ o̞
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あとさき	a̠ t o̞ s a̠ kʲ i
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとり	a̠ t o̞ ɾʲ i
あね	a̠ n e̞
あねったい	a̠ n e̞ t̚ t a̠ i
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あば	a̠ b a̠
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あびる	a̠ bʲ i ɾ ɯ̟ᵝ
あぶなっかしい	a̠ b ɯ̟ᵝ n a̠ k̚ k a̠ ɕ iː
あぶらよたか	a̠ b ɯ̟ᵝ ɾ a̠ j o̞ t a̠ k a̠
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
あま	a̠ m a̠
あまおと	a̠ m a̠ o̞ t o̞
あまからい	a̠ m a̠ k a̠ ɾ a̠ i
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
あまぐも	a̠ m a̠ ɡ ɯ̟ᵝ m o̞
あまでら	a̠ m a̠ d e̞ ɾ a̠
あみだぶつ	a̠ mʲ i d a̠ b ɯ̟ᵝ t͡s ɨᵝ
あみてん	a̠ mʲ i t ẽ̞ ɴ
あみの	a̠ mʲ i n o̞
あみもの	a̠ mʲ i m o̞ n o̞
あやか	a̠ j a̠ k a̠
あやとり	a̠ j a̠ t o̞ ɾʲ i
あやまつ	a̠ j a̠ m a̠ t͡s ɨᵝ
あゆこ	a̠ j ɯ̟ᵝ k o̞
あゆむ	a̠ j ɯ̟ᵝ m ɯ̟ᵝ
あらい	a̠ ɾ a̠ i
あらさき	a̠ ɾ a̠ s a̠ kʲ i
あらす	a̠ ɾ a̠ s ɨᵝ
あらためる	a̠ ɾ a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あらゆる	a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
ありじごく	a̠ ɾʲ i ʑ i ɡ o̞ k ɯ̟ᵝ
ある	a̠ ɾ ɯ̟ᵝ
あるきまわる	a̠ ɾ ɯ̟ᵝ kʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
あるみ	a r u m i
あれ	a̠ ɾ e̞
あわ	a̠ ɰᵝ a̠
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
あわもり	a̠ ɰᵝ a̠ m o̞ ɾʲ i
あん	ã̠ ɴ
あんうつ	ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ
あんさつ	ã̠ ɰ̃ s a̠ t͡s ɨᵝ
あんざん	ã̠ n d͡z ã̠ ɴ
あんしん	ã̠ ɰ̃ ɕ ĩ ɴ
あんず	ã̠ n d͡z ɨᵝ
あんぜん	ã̠ n d͡z ẽ̞ ɴ
あんぜんだいいち	ã̠ n d͡z ẽ̞ n d a̠ i i t͡ɕ i
あんた	ã̠ n t a̠
あんてん	ã̠ n t ẽ̞ ɴ
あんのん	ã̠ nː õ̞ ɴ
あんぽんたん	ã̠ m p õ̞ n t ã̠ ɴ
いあんふ	i ã̠ ɰ̃ ɸ ɯ̟ᵝ
いいきかせる	iː kʲ i k a̠ s e̞ ɾ ɯ̟ᵝ
いいん	ĩː ɴ
いえで	i e̞ d e̞
いえでにん	i e̞ d e̞ ɲ̟ ĩ ɴ
いえもち	i e̞ m o̞ t͡ɕ i
いおん	i õ̞ ɴ
いかが	i k a̠ ɡ a̠
いかけ	i k a̠ k e̞
いかり	i k a̠ ɾʲ i
いがく	i ɡ a̠ k ɯ̟ᵝ
いき	i kʲ i
いきおい	i kʲ i o̞ i
いきか	i kʲ i k a̠
いきつぎ	i kʲ i t͡s ɨᵝ ɡʲ i
いきもの	i kʲ i m o̞ n o̞
いきょう	i kʲ o̞ː
いきる	i kʲ i ɾ ɯ̟ᵝ
いくせいそう	i k ɯ̟ᵝ s e̞ː s o̞ː
いくた	i k ɯ̟ᵝ t a̠
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いけばな	i k e̞ b a̠ n a̠
いこ	i k o̞
いこう	i k o̞ː
いこみき	i k o̞
いさい	i s a̠ i
いさぎよい	i s a̠ ɡʲ i j o̞ i
いさごむし	i s a̠ ɡ o̞ m ɯ̟ᵝ ɕ i
いざよい	i z a̠ j o̞ i
いざよう	i z a̠ j o̞ː
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いしき	i ɕ i̥ kʲ i
いしょう	i ɕ o̞ː
いしょく	i ɕ o̞ k ɯ̟ᵝ
いしりょく	i ɕ i ɾʲ o̞ k ɯ̟̊ᵝ
いじ	i ʑ i
いじける	i ʑ i k e̞ ɾ ɯ̟ᵝ
いじめっこ	i ʑ i m e̞ k̚ k o̞
いじょう	i ʑ o̞ː
いずら	i z ɨᵝ ɾ a̠
いそ	i s o̞
いそぐ	i s o̞ ɡ ɯ̟ᵝ
いそろく	i s o̞ ɾ o̞ k ɯ̟ᵝ
いたむ	i t a̠ m ɯ̟ᵝ
いたわしい	i t a̠ ɰᵝ a̠ ɕ iː
いだい	i d a̠ i
いだてん	i d a̠ t ẽ̞ ɴ
いちごん	i t͡ɕ i ɡ õ̞ ɴ
いちごんほうおん	i t͡ɕ i ɡ õ̞ ɰ̃ h o̞ː õ̞ ɴ
いちじく	i t͡ɕ i ʑ i k ɯ̟ᵝ
いちぜん	i t͡ɕ i z ẽ̞ ɴ
いちぞく	i t͡ɕ i z o̞ k ɯ̟ᵝ
いちだいき	i t͡ɕ i d a̠ i kʲ i
いちなん	i t͡ɕ i n ã̠ ɴ
いちぶ	i t͡ɕ i b ɯ̟ᵝ
いちまつもよう	i t͡ɕ i m a̠ t͡s ɨᵝ m o̞ j o̞ː
いちまん	i t͡ɕ i m ã̠ ɴ
いちよう	i t͡ɕ i j o̞ː
いっこく	i k̚ k o̞ k ɯ̟ᵝ
いったい	i t̚ t a̠ i
いったいか	i t̚ t a̠ i k a̠
いったりきたり	i t̚ t a̠ ɾʲ i kʲ i t a̠ ɾʲ i
いっちょう	i t̚ t͡ɕ o̞ː
いっぱい	i p̚ p a̠ i
いっぱつげい	i p̚ p a̠ t͡s ɨᵝ ɡ e̞ː
いっぱん	i p̚ p ã̠ ɴ
いっぷたさいせい	i p̚ p ɯ̟ᵝ t a̠ s a̠ i s e̞ː
いっぽんみち	i p̚ p õ̞ mʲː i t͡ɕ i
いつくしむ	i t͡s ɨᵝ k ɯ̟ᵝ ɕ i m ɯ̟ᵝ
いつしか	i t͡s ɨᵝ ɕ i k a̠
いでんがく	i d ẽ̞ ŋ ɡ a̠ k ɯ̟ᵝ
いとおしい	i t o̞ː ɕ i i
いとさめ	i t o̞ s a̠ m e̞
いな	i n a̠
いなくなる	i n a̠ k ɯ̟ᵝ n a̠ ɾ ɯ̟ᵝ
いなずま	i n a̠ z ɨᵝ m a̠
いなむ	i n a̠ m ɯ̟ᵝ
いなり	i n a̠ ɾʲ i
いぬい	k ã̠ ɴ
いぬく	i n ɯ̟ᵝ k ɯ̟ᵝ
いのち	i n o̞ t͡ɕ i
いのちとり	i n o̞ t͡ɕ i t o̞ ɾʲ i
いのちびろい	i n o̞ t͡ɕ i bʲ i ɾ o̞ i
いのぶた	i n o̞ b ɯ̟ᵝ t a̠
いのり	i n o̞ ɾʲ i
いはつ	i h a̠ t͡s ɨᵝ
いばらき	i b a̠ ɾ a̠ kʲ i
いびく	i bʲ i k ɯ̟ᵝ
いぶかしい	i b ɯ̟ᵝ k a̠ ɕ i i
いへん	i h ẽ̞ ɴ
いほうじん	i h o̞ː ʑ ĩ ɴ
いぼ	i b o̞
いみろん	i mʲ i ɾ õ̞ ɴ
いもの	i m o̞ n o̞
いやす	i j a̠ s ɨᵝ
いやん	i j ã̠ ɴ
いらい	i ɾ a̠ i
いらっしゃい	i ɾ a̠ ɕː a̠ i
いらっしゃいませ	i ɾ a̠ ɕː a̠ i m a̠ s e̞
いらつこ	i ɾ a̠ t͡s ɨᵝ k o̞
いりえわに	i ɾʲ i e̞ ɰᵝ a̠ ɲ̟ i
いりこむ	i ɾʲ i k o̞ m ɯ̟ᵝ
いりまじり	i ɾʲ i m a̠ ʑ i ɾʲ i
いるかざ	i ɾ ɯ̟ᵝ k a̠ z a̠
いるす	i ɾ ɯ̟ᵝ s ɨᵝ
いれもの	i ɾ e̞ m o̞ n o̞
いろあざやか	i ɾ o̞ a̠ z a̠ j a̠ k a̠
いろう	i ɾ o̞ː
いろざと	i ɾ o̞ z a̠ t o̞
いろづける	i ɾ o̞ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
いろん	i ɾ õ̞ ɴ
いわあな	i ɰᵝ a̠ a̠ n a̠
いわかん	i ɰᵝ a̠ k ã̠ ɴ
いわく	i ɰᵝ a̠ k ɯ̟ᵝ
いわのぼり	i ɰᵝ a̠ n o̞ b o̞ ɾʲ i
いわゆる	i ɰᵝ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ
いんが	ĩ ŋ ɡ a̠
いんがし	ĩ ŋ ɡ a̠ ɕ i
いんこ	ĩ ŋ k o̞
いんぜい	ĩ n d͡z e̞ː
いんたい	ĩ n t a̠ i
いんどう	ĩ n d o̞ː
いんねん	ĩ nː ẽ̞ ɴ
いんむ	ĩ mː ɯ̟ᵝ
いんりつ	ĩ n ɾʲ i t͡s ɨᵝ
ういご	ɯ̟ᵝ i ɡ o̞
うえぞの	ɯᵝ e̞ z o̞ n o̞
うえもんふ	ɯ̟ᵝ e̞ m õ̞ ɰ̃ ɸ ɯ̟ᵝ
うきす	ɯ̟ᵝ kʲ i s ɨᵝ
うきわ	ɯ̟ᵝ kʲ i ɰᵝ a̠
うけたまわる	ɯ̟ᵝ k e̞ t a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うけとりにん	ɯ̟ᵝ k e̞ t o̞ ɾʲ i ɲ̟ ĩ ɴ
うけとる	ɯ̟ᵝ k e̞ t o̞ ɾ ɯ̟ᵝ
うける	ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
うし	ɯ̟ᵝ ɕ i
うしかいざ	ɯ̟ᵝ ɕ i̥ k a̠ i z a̠
うじ	ɯ̟ᵝ ʑ i
うそつけ	ɯ̟ᵝ s o̞ t͡s ɨᵝ k e̞
うたう	ɯ̟ᵝ t a̠ ɯ̟ᵝ
うたがい	ɯ̟ᵝ t a̠ ɡ a̠ i
うたってみた	ɯ̟ᵝ t a̠ t̚ t e̞ mʲ i t a̠
うたつぐみ	ɯ̟ᵝ t a̠ t͡s ɨᵝ ɡ ɯ̟ᵝ mʲ i
うたひめ	ɯ̟ᵝ t a̠ ç i m e̞
うちがけ	ɯ̟ᵝ t͡ɕ i ɡ a̠ k e̞
うちがわ	ɯ̟ᵝ t͡ɕ i ɡ a̠ ɰᵝ a̠
うちくび	ɯ̟ᵝ t͡ɕ i k ɯ̟ᵝ bʲ i
うちけす	ɯ̟ᵝ t͡ɕ i k e̞ s ɨᵝ
うちゅう	ɯ̟ᵝ t͡ɕ ɨᵝː
うっとう	ɯ̟ᵝ t̚ t o̞ː
うっとうしい	ɯ̟ᵝ t̚ t o̞ː ɕ i i
うつのみや	ɯ̟ᵝ t͡s ɨᵝ n o̞ mʲ i j a̠
うつぼ	ɯ̟ᵝ t͡s ɨᵝ b o̞
うつりかわる	ɯ̟ᵝ t͡s ɨᵝ ɾʲ i k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うつろ	ɯ̟ᵝ t͡s ɨᵝ ɾ o̞
うでどけい	ɯ̟ᵝ d e̞ d o̞ k e̞ː
うでまえ	ɯ̟ᵝ d e̞ m a̠ e̞
うば	ɯ̟ᵝ b a̠
うばい	ɯ̟ᵝ b a̠ i
うばがい	ɯ̟ᵝ b a̠ ɡ a̠ i
うばたま	ɯ̟ᵝ b a̠ t a̠ m a̠
うまれる	ɯ̟ᵝ m a̠ ɾ e̞ ɾ ɯ̟ᵝ
うみ	ɯ̟ᵝ mʲ i
うみがめ	ɯ̟ᵝ mʲ i ɡ a̠ m e̞
うみがらす	ɯ̟ᵝ mʲ i ɡ a̠ ɾ a̠ s ɨᵝ
うみすずめ	ɯ̟ᵝ mʲ i s ɨᵝ z ɨᵝ m e̞
うみとかげ	ɯ̟ᵝ mʲ i t o̞ k a̠ ɡ e̞
うみぼうず	ɯ̟ᵝ mʲ i b o̞ː z ɨᵝ
うめあわせる	ɯ̟ᵝ m e̞ a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
うめく	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
うめる	ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
うゆう	ɯ̟ᵝ j ɯ̟ᵝː
うらぎる	ɯ̟ᵝ ɾ a̠ ɡʲ i ɾ ɯ̟ᵝ
うらばなし	ɯ̟ᵝ ɾ a̠ b a̠ n a̠ ɕ i
うらむ	ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
うらやましい	ɯ̟ᵝ ɾ a̠ j a̠ m a̠ ɕ i i
うらわかい	ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ k a̠ i
うるしはら	ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i h a̠ ɾ a̠
うるわしい	ɯ̟ᵝ ɾ ɯ̟ᵝ ɰᵝ a̠ ɕ iː
うれっこ	ɯ̟ᵝ ɾ e̞ k̚ k o̞
うわまわる	ɯ̟ᵝ ɰᵝ a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
うん	ɯ̟̃ᵝ ɴ
うんげい	ɯ̟̃ᵝ ŋ ɡ e̞ː
うんせい	ɯ̟̃ᵝ ɰ̃ s e̞ː
うんどうぐつ	ɯ̟̃ᵝ n d o̞ː ɡ ɯ̟ᵝ t͡s ɨᵝ
うんどうりょう	ɯ̟̃ᵝ n d o̞ː ɾʲ o̞ː
えいがかん	e̞ː ɡ a̠ k ã̠ ɴ
えいしょう	e̞ː ɕ o̞ː
えいじ	e̞ː ʑ i
えいせい	e̞ː s e̞ː
えいぞう	e̞ː z o̞ː
えいよ	e̞ː j o̞
えいりょく	e̞ː ɾʲ o̞ k ɯ̟ᵝ
えいれんぽう	e̞ː ɾ ẽ̞ m p o̞ː
えいろく	e̞ː ɾ o̞ k ɯ̟ᵝ
えいん	ẽ̞ː ɴ
ええっと	e̞ː t̚ t o̞
えききょう	e̞ kʲ i kʲ o̞ː
えきしゃ	e̞ kʲ i ɕ a̠
えきじゅう	e̞ kʲ i ʑ ɨᵝː
えきそう	e̞ kʲ i s o̞ː
えきちゅう	e̞ kʲ i̥ t͡ɕ ɨᵝː
えくぼ	e̞ k ɯ̟ᵝ b o̞
えこひいき	e̞ k o̞ ç iː kʲ i
えず	e̞ z ɨᵝ
えっへん	e̞ hː ẽ̞ ɴ
えつご	e̞ t͡s ɨᵝ ɡ o̞
えつらんしつ	e̞ t͡s ɨᵝ ɾ ã̠ ɰ̃ ɕ i t͡s ɨᵝ
えど	e̞ d o̞
えどっこ	e̞ d o̞ k̚ k o̞
えのきたけ	e̞ n o̞ kʲ i t a̠ k e̞
えのころぐさ	e̞ n o̞ k o̞ ɾ o̞ ɡ ɯ̟ᵝ s a̠
えひめけん	e̞ ç i m e̞ k ẽ̞ ɴ
えび	e̞ bʲ i
えびな	e̞ bʲ i n a̠
えふで	e̞ ɸ ɯ̟ᵝ d e̞
えみこ	e̞ mʲ i k o̞
えらい	e̞ ɾ a̠ i
えんあん	ẽ̞ ɰ̃ ã̠ ɴ
えんえき	ẽ̞ ɴ e̞ kʲ i
えんきり	ẽ̞ ŋʲ kʲ i ɾʲ i
えんぎ	ẽ̞ ŋʲ ɡʲ i
えんげき	ẽ̞ ŋ ɡ e̞ kʲ i
えんしゅう	ẽ̞ ɰ̃ ɕ ɨᵝː
えんせいしゅぎ	ẽ̞ ɰ̃ s e̞ː ɕ ɨᵝ ɡʲ i
えんそうか	ẽ̞ ɰ̃ s o̞ː k a̠
えんそうかい	ẽ̞ ɰ̃ s o̞ː k a̠ i
えんたく	ẽ̞ n t a̠ k ɯ̟ᵝ
えんだい	ẽ̞ n d a̠ i
えんだん	ẽ̞ n d ã̠ ɴ
えんちょうせん	ẽ̞ ɲ̟ t͡ɕ o̞ː s ẽ̞ ɴ
えんちょく	ẽ̞ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ
えんでい	ẽ̞ n d e̞ː
えんとうし	ẽ̞ n t o̞ː ɕ i
えんび	ẽ̞ m bʲ i
えんぴつ	ẽ̞ m pʲ i̥ t͡s ɨᵝ
えんぺん	ẽ̞ m p ẽ̞ ɴ
えんりょ	ẽ̞ n ɾʲ o̞
おいうつ	o̞ i ɯ̟ᵝ t͡s ɨᵝ
おいつめる	o̞ i t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
おいぼれ	o̞ i b o̞ ɾ e̞
おいる	o̞ i ɾ ɯ̟ᵝ
おう	o̞ ɯ̟ᵝ
おうえんだん	o̞ː ẽ̞ n d ã̠ ɴ
おうごんひ	o̞ː ɡ õ̞ ɰ̃ ç i
おうさか	oː s a k a
おうじつ	o̞ː ʑ i t͡s ɨᵝ
おうじょうぎわ	o̞ː ʑ o̞ː ɡʲ i ɰᵝ a̠
おうてん	o̞ː t ẽ̞ ɴ
おうとうき	o̞ː t o̞ː kʲ i
おうひ	o̞ː ç i
おうふく	o̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
おうむ	o̞ː m ɯ̟ᵝ
おえる	o̞ e̞ ɾ ɯ̟ᵝ
おおう	o̞ː ɯ̟ᵝ
おおぎり	o̞ː ɡʲ i ɾʲ i
おおぐまざ	o̞ː ɡ ɯ̟ᵝ m a̠ z a̠
おおさこ	o̞ː s a̠ k o̞
おおさわぎ	o̞ː s a̠ ɰᵝ a̠ ɡʲ i
おおしま	o̞ː ɕ i m a̠
おおじか	o̞ː ʑ i k a̠
おおすじ	o̞ː s ɨᵝ ʑ i
おおぜい	o̞ː z e̞ː
おおちがい	o̞ː t͡ɕ i ɡ a̠ i
おおやけ	o̞ː j a̠ k e̞
おおやまねこ	o̞ː j a̠ m a̠ n e̞ k o̞
おかえりなさい	o̞ k a̠ e̞ ɾʲ i n a̠ s a̠ i
おかげ	o̞ k a̠ ɡ e̞
おかし	o̞ k a̠ ɕ i
おかす	o̞ k a̠ s ɨᵝ
おかね	o̞ k a̠ n e̞
おきあがりこぼし	o̞ kʲ i a̠ ɡ a̠ ɾʲ i k o̞ b o̞ ɕ i
おきごんどう	o̞ kʲ i ɡ õ̞ n d o̞ː
おきて	o̞ kʲ i t e̞
おきなわ	o̞ kʲ i n a̠ ɰᵝ a̠
おきる	o̞ kʲ i ɾ ɯ̟ᵝ
おく	o̞ k ɯ̟ᵝ
おくう	o̞ k ɯ̟ᵝ ɯ̟ᵝ
おくはら	o̞ k ɯ̟ᵝ h a̠ ɾ a̠
おこる	o̞ k o̞ ɾ ɯ̟ᵝ
おごる	o̞ ɡ o̞ ɾ ɯ̟ᵝ
おさえる	o̞ s a̠ e̞ ɾ ɯ̟ᵝ
おさけ	o̞ s a̠ k e̞
おさない	o̞ s a̠ n a̠ i
おさまる	o̞ s a̠ m a̠ ɾ ɯ̟ᵝ
おしい	o̞ ɕ i i
おしえる	o̞ ɕ i e̞ ɾ ɯ̟ᵝ
おしゃべり	o̞ ɕ a̠ b e̞ ɾʲ i
おしゃれ	o̞ ɕ a̠ ɾ e̞
おじか	o̞ ʑ i k a̠
おじさん	o̞ ʑ i s ã̠ ɴ
おせじ	o̞ s e̞ d͡ʑ i
おそい	o̞ s o̞ i
おそう	o̞ s o̞ ɯ̟ᵝ
おそけ	o̞ s o̞ k e̞
おそそ	o̞ s o̞ s o̞
おそらく	o̞ s o̞ ɾ a̠ k ɯ̟ᵝ
おそん	o̞ s õ̞ ɴ
おたがい	o̞ t a̠ ɡ a̠ i
おたまじゃくし	o̞ t a̠ m a̠ ʑ a̠ k ɯ̟̊ᵝ ɕ i
おだやか	o̞ d a̠ j a̠ k a̠
おちど	o̞ t͡ɕ i d o̞
おちびさん	o̞ t͡ɕ i bʲ i s ã̠ ɴ
おっきい	o̞ k̚ʲ kʲ i i
おてあげ	o̞ t e̞ a̠ ɡ e̞
おでかけ	o̞ d e̞ k a̠ k e̞
おでこ	o̞ d e̞ k o̞
おとこ	o̞ t o̞ k o̞
おとこまさり	o̞ t o̞ k o̞ m a̠ s a̠ ɾʲ i
おとさた	o̞ t o̞ s a̠ t a̠
おどす	o̞ d o̞ s ɨᵝ
おどらす	o̞ d o̞ ɾ a̠ s ɨᵝ
おどろく	o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
おないどし	o̞ n a̠ i d o̞ ɕ i
おなが	o̞ n a̠ ɡ a̠
おなががも	o̞ n a̠ ɡ a̠ ɡ a̠ m o̞
おなじ	o̞ n a̠ ʑ i
おにあそび	o̞ ɲ̟ i a̠ s o̞ bʲ i
おにご	o̞ ɲ̟ i ɡ o̞
おの	o̞ n o̞
おふくろ	o̞ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɾ o̞
おぶつ	o̞ b ɯ̟ᵝ t͡s ɨᵝ
おぼえる	o̞ b o̞ e̞ ɾ ɯ̟ᵝ
おぼろづき	o̞ b o̞ ɾ o̞ z ɨᵝ kʲ i
おまえら	o̞ m a̠ e̞ ɾ a̠
おもい	o̞ m o̞ i
おもいうかぶ	o̞ m o̞ i ɯ̟ᵝ k a̠ b ɯ̟ᵝ
おもいおもい	o̞ m o̞ i o̞ m o̞ i
おもいたつ	o̞ m o̞ i t a̠ t͡s ɨᵝ
おもいどおり	o̞ m o̞ i d o̞ː ɾʲ i
おもいやり	o̞ m o̞ i j a̠ ɾʲ i
おもさ	o̞ m o̞ s a̠
おもたい	o̞ m o̞ t a̠ i
おもてむき	o̞ m o̞ t e̞ m ɯ̟ᵝ kʲ i
おもねる	o̞ m o̞ n e̞ ɾ ɯ̟ᵝ
おもり	o̞ m o̞ ɾʲ i
おやこ	o̞ j a̠ k o̞
およぐ	o̞ j o̞ ɡ ɯ̟ᵝ
おり	o̞ ɾʲ i
おろか	o̞ ɾ o̞ k a̠
おろがむ	o̞ ɾ o̞ ɡ a̠ m ɯ̟ᵝ
おろしうり	o̞ ɾ o̞ ɕ i ɯ̟ᵝ ɾʲ i
おろしがね	o̞ ɾ o̞ ɕ i ɡ a̠ n e̞
おろす	o̞ ɾ o̞ s ɨᵝ
おろそか	o̞ ɾ o̞ s o̞ k a̠
おろち	o̞ ɾ o̞ t͡ɕ i
おわる	o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
おん	õ̞ ɴ
おんけん	õ̞ ŋ k ẽ̞ ɴ
おんしん	õ̞ ɰ̃ ɕ ĩ ɴ
おんぞん	õ̞ n d͡z õ̞ ɴ
おんなごころ	õ̞ nː a̠ ɡ o̞ k o̞ ɾ o̞
おんなぶげいしゃ	õ̞ nː a̠ b ɯ̟ᵝ ɡ e̞ː ɕ a̠
おんりょう	õ̞ n ɾʲ o̞ː
かいあげる	k a̠ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
かいい	k a̠ i i
かいうん	k a̠ i ɯ̟̃ᵝ ɴ
かいえん	k a̠ i ẽ̞ ɴ
かいおうせい	k a̠ i o̞ː s e̞ː
かいかい	k a̠ i k a̠ i
かいかけきん	k a̠ i k a̠ k e̞ kʲ ĩ ɴ
かいがら	k a̠ i ɡ a̠ ɾ a̠
かいきょうと	k a̠ i kʲ o̞ː t o̞
かいぎ	k a̠ i ɡʲ i
かいさい	k a̠ i s a̠ i
かいしゃ	k a̠ i ɕ a̠
かいしゃいん	k a̠ i ɕ a̠ ĩ ɴ
かいしゅう	k a̠ i ɕ ɨᵝː
かいしょく	k a̠ i ɕ o̞ k ɯ̟ᵝ
かいじつ	k a̠ i ʑ i t͡s ɨᵝ
